"time" "steps" "date" "wday" "hour" "minute" "month"
"72" 2014-10-01 17:45:00 0 "2014-10-01" "Wed" 17 45 10
"73" 2014-10-01 18:00:00 0 "2014-10-01" "Wed" 18 0 10
"74" 2014-10-01 18:15:00 0 "2014-10-01" "Wed" 18 15 10
"75" 2014-10-01 18:30:00 0 "2014-10-01" "Wed" 18 30 10
"76" 2014-10-01 18:45:00 0 "2014-10-01" "Wed" 18 45 10
"77" 2014-10-01 19:00:00 0 "2014-10-01" "Wed" 19 0 10
"78" 2014-10-01 19:15:00 0 "2014-10-01" "Wed" 19 15 10
"79" 2014-10-01 19:30:00 0 "2014-10-01" "Wed" 19 30 10
"80" 2014-10-01 19:45:00 0 "2014-10-01" "Wed" 19 45 10
"81" 2014-10-01 20:00:00 0 "2014-10-01" "Wed" 20 0 10
"82" 2014-10-01 20:15:00 0 "2014-10-01" "Wed" 20 15 10
"83" 2014-10-01 20:30:00 0 "2014-10-01" "Wed" 20 30 10
"84" 2014-10-01 20:45:00 0 "2014-10-01" "Wed" 20 45 10
"85" 2014-10-01 21:00:00 0 "2014-10-01" "Wed" 21 0 10
"86" 2014-10-01 21:15:00 0 "2014-10-01" "Wed" 21 15 10
"87" 2014-10-01 21:30:00 0 "2014-10-01" "Wed" 21 30 10
"88" 2014-10-01 21:45:00 0 "2014-10-01" "Wed" 21 45 10
"89" 2014-10-01 22:00:00 0 "2014-10-01" "Wed" 22 0 10
"90" 2014-10-01 22:15:00 0 "2014-10-01" "Wed" 22 15 10
"91" 2014-10-01 22:30:00 0 "2014-10-01" "Wed" 22 30 10
"92" 2014-10-01 22:45:00 0 "2014-10-01" "Wed" 22 45 10
"93" 2014-10-01 23:00:00 0 "2014-10-01" "Wed" 23 0 10
"94" 2014-10-01 23:15:00 0 "2014-10-01" "Wed" 23 15 10
"95" 2014-10-01 23:30:00 0 "2014-10-01" "Wed" 23 30 10
"96" 2014-10-01 23:45:00 0 "2014-10-01" "Wed" 23 45 10
"97" 2014-10-02 00:00:00 0 "2014-10-02" "Thurs" 0 0 10
"98" 2014-10-02 00:15:00 0 "2014-10-02" "Thurs" 0 15 10
"99" 2014-10-02 00:30:00 0 "2014-10-02" "Thurs" 0 30 10
"100" 2014-10-02 00:45:00 0 "2014-10-02" "Thurs" 0 45 10
"101" 2014-10-02 01:00:00 0 "2014-10-02" "Thurs" 1 0 10
"102" 2014-10-02 01:15:00 0 "2014-10-02" "Thurs" 1 15 10
"103" 2014-10-02 01:30:00 0 "2014-10-02" "Thurs" 1 30 10
