"date","startTime","endTime","sleepDuration","awokenCount","restlessCount","awakeTime","restlessTime","minAsleep","sleepQualityScoreB","sleepQualityScoreA"
"2015-07-11","21:03","13:04","961","NULL","4","NULL","NULL","887","8.5","83"
"2015-04-13","22:30","6:15","465","NULL","0","NULL","NULL","465","9.5","97"
