"","time","steps","day"
"140","10:45:00",48,"2015-01-02"
"141","11:00:00",0,"2015-01-02"
"142","11:15:00",72,"2015-01-02"
"143","11:30:00",350,"2015-01-02"
"144","11:45:00",216,"2015-01-02"
"145","12:00:00",0,"2015-01-02"
"146","12:15:00",271,"2015-01-02"
"147","12:30:00",158,"2015-01-02"
"148","12:45:00",52,"2015-01-02"
"149","13:00:00",191,"2015-01-02"
"150","13:15:00",20,"2015-01-02"
"151","13:30:00",0,"2015-01-02"
"152","13:45:00",13,"2015-01-02"
"153","14:00:00",152,"2015-01-02"
"154","14:15:00",151,"2015-01-02"
"155","14:30:00",0,"2015-01-02"
"156","14:45:00",0,"2015-01-02"
"157","15:00:00",14,"2015-01-02"
"158","15:15:00",0,"2015-01-02"
"159","15:30:00",88,"2015-01-02"
"160","15:45:00",360,"2015-01-02"
"161","16:00:00",421,"2015-01-02"
"162","16:15:00",80,"2015-01-02"
"163","16:30:00",0,"2015-01-02"
"164","16:45:00",0,"2015-01-02"
"165","17:00:00",388,"2015-01-02"
"166","17:15:00",390,"2015-01-02"
"167","17:30:00",705,"2015-01-02"
"168","17:45:00",776,"2015-01-02"
"169","18:00:00",889,"2015-01-02"
"170","18:15:00",917,"2015-01-02"
"171","18:30:00",327,"2015-01-02"
"172","18:45:00",71,"2015-01-02"
"173","19:00:00",309,"2015-01-02"
"174","19:15:00",75,"2015-01-02"
"175","19:30:00",38,"2015-01-02"
"176","19:45:00",83,"2015-01-02"
"177","20:00:00",0,"2015-01-02"
"178","20:15:00",0,"2015-01-02"
"179","20:30:00",72,"2015-01-02"
"180","20:45:00",123,"2015-01-02"
"181","21:00:00",94,"2015-01-02"
"182","21:15:00",92,"2015-01-02"
"183","21:30:00",79,"2015-01-02"
"184","21:45:00",0,"2015-01-02"
"185","22:00:00",6,"2015-01-02"
"186","22:15:00",22,"2015-01-02"
"187","22:30:00",0,"2015-01-02"
"188","22:45:00",0,"2015-01-02"
"189","23:00:00",0,"2015-01-02"
"190","23:15:00",0,"2015-01-02"
"191","23:30:00",48,"2015-01-02"
"192","23:45:00",0,"2015-01-02"
"193","00:00:00",0,"2015-01-03"
"194","00:15:00",0,"2015-01-03"
"195","00:30:00",10,"2015-01-03"
"196","00:45:00",27,"2015-01-03"
"197","01:00:00",0,"2015-01-03"
"198","01:15:00",0,"2015-01-03"
"199","01:30:00",0,"2015-01-03"
"200","01:45:00",0,"2015-01-03"
"201","02:00:00",0,"2015-01-03"
"202","02:15:00",0,"2015-01-03"
"203","02:30:00",0,"2015-01-03"
"204","02:45:00",0,"2015-01-03"
"205","03:00:00",0,"2015-01-03"
"206","03:15:00",0,"2015-01-03"
"207","03:30:00",0,"2015-01-03"
"208","03:45:00",0,"2015-01-03"
"209","04:00:00",0,"2015-01-03"
"210","04:15:00",0,"2015-01-03"
"211","04:30:00",0,"2015-01-03"
"212","04:45:00",0,"2015-01-03"
"213","05:00:00",0,"2015-01-03"
"214","05:15:00",0,"2015-01-03"
"215","05:30:00",0,"2015-01-03"
"216","05:45:00",0,"2015-01-03"
"217","06:00:00",0,"2015-01-03"
"218","06:15:00",4,"2015-01-03"
"219","06:30:00",0,"2015-01-03"
"220","06:45:00",0,"2015-01-03"
"221","07:00:00",0,"2015-01-03"
"222","07:15:00",0,"2015-01-03"
"223","07:30:00",0,"2015-01-03"
"224","07:45:00",0,"2015-01-03"
"225","08:00:00",8,"2015-01-03"
"226","08:15:00",46,"2015-01-03"
"227","08:30:00",95,"2015-01-03"
"228","08:45:00",107,"2015-01-03"
"229","09:00:00",171,"2015-01-03"
"230","09:15:00",216,"2015-01-03"
"231","09:30:00",77,"2015-01-03"
"232","09:45:00",52,"2015-01-03"
"233","10:00:00",5,"2015-01-03"
"234","10:15:00",5,"2015-01-03"
"235","10:30:00",49,"2015-01-03"
"236","10:45:00",12,"2015-01-03"
"237","11:00:00",0,"2015-01-03"
"238","11:15:00",32,"2015-01-03"
"239","11:30:00",45,"2015-01-03"
"240","11:45:00",56,"2015-01-03"
"241","12:00:00",52,"2015-01-03"
"242","12:15:00",27,"2015-01-03"
"243","12:30:00",67,"2015-01-03"
"244","12:45:00",13,"2015-01-03"
"245","13:00:00",140,"2015-01-03"
"246","13:15:00",0,"2015-01-03"
"247","13:30:00",18,"2015-01-03"
"248","13:45:00",58,"2015-01-03"
"249","14:00:00",131,"2015-01-03"
"250","14:15:00",135,"2015-01-03"
"251","14:30:00",50,"2015-01-03"
"252","14:45:00",143,"2015-01-03"
"253","15:00:00",0,"2015-01-03"
"254","15:15:00",165,"2015-01-03"
"255","15:30:00",20,"2015-01-03"
"256","15:45:00",21,"2015-01-03"
"257","16:00:00",167,"2015-01-03"
"258","16:15:00",245,"2015-01-03"
"259","16:30:00",31,"2015-01-03"
"260","16:45:00",94,"2015-01-03"
"261","17:00:00",492,"2015-01-03"
"262","17:15:00",308,"2015-01-03"
"263","17:30:00",4,"2015-01-03"
"264","17:45:00",396,"2015-01-03"
"265","18:00:00",678,"2015-01-03"
"266","18:15:00",466,"2015-01-03"
"267","18:30:00",12,"2015-01-03"
"268","18:45:00",36,"2015-01-03"
"269","19:00:00",1,"2015-01-03"
"270","19:15:00",0,"2015-01-03"
"271","19:30:00",0,"2015-01-03"
"272","19:45:00",4,"2015-01-03"
"273","20:00:00",0,"2015-01-03"
"274","20:15:00",0,"2015-01-03"
"275","20:30:00",0,"2015-01-03"
"276","20:45:00",0,"2015-01-03"
"277","21:00:00",0,"2015-01-03"
"278","21:15:00",214,"2015-01-03"
"279","21:30:00",0,"2015-01-03"
"280","21:45:00",149,"2015-01-03"
"281","22:00:00",264,"2015-01-03"
"282","22:15:00",20,"2015-01-03"
"283","22:30:00",56,"2015-01-03"
"284","22:45:00",31,"2015-01-03"
"285","23:00:00",39,"2015-01-03"
"286","23:15:00",176,"2015-01-03"
"287","23:30:00",11,"2015-01-03"
"288","23:45:00",0,"2015-01-03"
"289","00:00:00",0,"2015-01-04"
"290","00:15:00",9,"2015-01-04"
"291","00:30:00",0,"2015-01-04"
"292","00:45:00",0,"2015-01-04"
"293","01:00:00",0,"2015-01-04"
"294","01:15:00",0,"2015-01-04"
"295","01:30:00",0,"2015-01-04"
"296","01:45:00",0,"2015-01-04"
"297","02:00:00",0,"2015-01-04"
"298","02:15:00",0,"2015-01-04"
"299","02:30:00",0,"2015-01-04"
"300","02:45:00",0,"2015-01-04"
"301","03:00:00",13,"2015-01-04"
"302","03:15:00",0,"2015-01-04"
"303","03:30:00",0,"2015-01-04"
"304","03:45:00",0,"2015-01-04"
"305","04:00:00",0,"2015-01-04"
"306","04:15:00",0,"2015-01-04"
"307","04:30:00",0,"2015-01-04"
"308","04:45:00",9,"2015-01-04"
"309","05:00:00",0,"2015-01-04"
"310","05:15:00",8,"2015-01-04"
"311","05:30:00",0,"2015-01-04"
"312","05:45:00",9,"2015-01-04"
"313","06:00:00",0,"2015-01-04"
"314","06:15:00",8,"2015-01-04"
"315","06:30:00",5,"2015-01-04"
"316","06:45:00",0,"2015-01-04"
"317","07:00:00",0,"2015-01-04"
"318","07:15:00",0,"2015-01-04"
"319","07:30:00",0,"2015-01-04"
"320","07:45:00",12,"2015-01-04"
"321","08:00:00",9,"2015-01-04"
"322","08:15:00",45,"2015-01-04"
"323","08:30:00",0,"2015-01-04"
"324","08:45:00",0,"2015-01-04"
"325","09:00:00",11,"2015-01-04"
"326","09:15:00",279,"2015-01-04"
"327","09:30:00",340,"2015-01-04"
