"time","steps","date","wday","hour","minute","month"
2014-10-01 21:00:00,0,"2014-10-01","Wed",21,0,10
2014-10-01 21:15:00,0,"2014-10-01","Wed",21,15,10
2014-10-01 21:30:00,0,"2014-10-01","Wed",21,30,10
2014-10-01 21:45:00,0,"2014-10-01","Wed",21,45,10
2014-10-01 22:00:00,0,"2014-10-01","Wed",22,0,10
2014-10-01 22:15:00,0,"2014-10-01","Wed",22,15,10
2014-10-01 22:30:00,0,"2014-10-01","Wed",22,30,10
2014-10-01 22:45:00,0,"2014-10-01","Wed",22,45,10
2014-10-01 23:00:00,0,"2014-10-01","Wed",23,0,10
2014-10-01 23:15:00,0,"2014-10-01","Wed",23,15,10
2014-10-01 23:30:00,0,"2014-10-01","Wed",23,30,10
2014-10-01 23:45:00,0,"2014-10-01","Wed",23,45,10
2014-10-02 00:00:00,0,"2014-10-02","Thurs",0,0,10
2014-10-02 00:15:00,0,"2014-10-02","Thurs",0,15,10
2014-10-02 00:30:00,0,"2014-10-02","Thurs",0,30,10
2014-10-02 00:45:00,0,"2014-10-02","Thurs",0,45,10
2014-10-02 01:00:00,0,"2014-10-02","Thurs",1,0,10
2014-10-02 01:15:00,0,"2014-10-02","Thurs",1,15,10
2014-10-02 01:30:00,0,"2014-10-02","Thurs",1,30,10
2014-10-02 01:45:00,0,"2014-10-02","Thurs",1,45,10
2014-10-02 02:00:00,0,"2014-10-02","Thurs",2,0,10
2014-10-02 02:15:00,0,"2014-10-02","Thurs",2,15,10
2014-10-02 02:30:00,0,"2014-10-02","Thurs",2,30,10
2014-10-02 02:45:00,0,"2014-10-02","Thurs",2,45,10
2014-10-02 03:00:00,0,"2014-10-02","Thurs",3,0,10
2014-10-02 03:15:00,0,"2014-10-02","Thurs",3,15,10
2014-10-02 03:30:00,0,"2014-10-02","Thurs",3,30,10
2014-10-02 03:45:00,0,"2014-10-02","Thurs",3,45,10
2014-10-02 04:00:00,0,"2014-10-02","Thurs",4,0,10
2014-10-02 04:15:00,0,"2014-10-02","Thurs",4,15,10
2014-10-02 04:30:00,0,"2014-10-02","Thurs",4,30,10
2014-10-02 04:45:00,0,"2014-10-02","Thurs",4,45,10
2014-10-02 05:00:00,0,"2014-10-02","Thurs",5,0,10
2014-10-02 05:15:00,0,"2014-10-02","Thurs",5,15,10
2014-10-02 05:30:00,0,"2014-10-02","Thurs",5,30,10
2014-10-02 05:45:00,0,"2014-10-02","Thurs",5,45,10
2014-10-02 06:00:00,0,"2014-10-02","Thurs",6,0,10
