"date","startTime","endTime","sleepDuration","awokenCount","restlessCount","awakeTime","restlessTime","minAsleep","sleepQualityScoreB","sleepQualityScoreA"
"75","2015-03-16","21:50","5:51","481","NULL","12","NULL","NULL","459","9","92"
"76","2015-05-05","21:15","4:31","436","NULL","9","NULL","NULL","406","8.5","87"
"77","2015-06-04","21:35","4:46","431","NULL","10","NULL","NULL","392","9","88"
"78","2015-08-19","22:46","4:15","329","NULL","5","NULL","NULL","311","7.5","73"
"79","2014-12-31","21:40","4:17","397","NULL","7","NULL","NULL","380","8.5","86"
"80","2015-02-21","22:30","7:04","514","NULL","3","NULL","NULL","506","10","98"
"81","2015-08-23","21:46","6:10","504","NULL","10","NULL","NULL","469","9","91"
"82","2015-03-18","21:48","4:15","387","NULL","7","NULL","NULL","369","8.5","83"
"83","2015-04-25","21:14","6:34","560","NULL","12","NULL","NULL","530","9","92"
"84","2015-01-17","0:52","7:53","421","NULL","5","NULL","NULL","408","9.5","93"
"85","2014-11-14","21:09","5:36","507","NULL","8","NULL","NULL","487","9.5","93"
"86","2015-02-12","21:32","4:30","418","NULL","5","NULL","NULL","401","9","89"
"87","2015-08-03","21:28","5:18","470","NULL","8","NULL","NULL","444","9","90"
"88","2014-12-24","21:32","4:15","403","NULL","4","NULL","NULL","388","9","88"
"89","2014-11-27","21:35","4:22","407","NULL","7","NULL","NULL","390","8.5","87"
"90","2014-11-18","21:07","4:25","438","NULL","15","NULL","NULL","393","8","81"
"91","2015-02-23","21:29","5:53","504","NULL","6","NULL","NULL","487","9.5","94"
"92","2015-04-30","20:56","4:18","442","NULL","7","NULL","NULL","422","9","91"
"93","2015-02-01","22:20","7:40","560","NULL","11","NULL","NULL","531","9","92"
"94","2014-12-21","21:54","7:04","550","NULL","4","NULL","NULL","533","9.5","96"
"95","2015-01-16","22:57","8:32","575","NULL","6","NULL","NULL","553","9.5","96"
"96","2015-05-17","22:39","6:05","446","NULL","7","NULL","NULL","418","9","88"
"97","2015-06-27","21:32","4:47","435","NULL","5","NULL","NULL","419","9","92"
"98","2015-05-14","21:18","4:30","432","NULL","9","NULL","NULL","408","9","89"
"99","2014-11-05","21:02","4:15","433","NULL","4","NULL","NULL","423","9.5","93"
"100","2015-09-02","21:13","6:01","528","NULL","6","NULL","NULL","512","9.5","95"
"101","2015-03-27","23:07","7:22","495","NULL","6","NULL","NULL","476","9.5","94"
"102","2015-07-11","21:11","4:31","440","NULL","7","NULL","NULL","421","9","90"
"103","2015-01-14","23:44","7:14","450","NULL","2","NULL","NULL","442","9.5","95"
"104","2014-12-08","21:51","5:40","469","NULL","2","NULL","NULL","462","9.5","96"
